ID Donatur,recency,frequency,monetary,last_date,last_nominal,program,cara_bayar,monetary_log,cluster,churn,segmen,prob_churn,prediksi
DAD-00247,1279,6,380000.0,2022-07-01,40000.0,Bantuan Palestina,Transfer,12.847929163278053,2,0,Tidak Churn,1.452265e-06,0
DAD-00248,1401,2,400000.0,2022-03-01,200000.0,Wakaf Qur'an,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
DAD-00249,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00250,1370,4,160000.0,2022-04-01,30000.0,Wakaf Qur'an,Transfer,11.982935344196433,2,0,Tidak Churn,2.0426837e-06,0
DAD-00251,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00252,1401,2,400000.0,2022-03-01,200000.0,Wakaf Qur'an,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
DAD-00253,124,40,9280000.0,2025-08-29,100000.0,Wakaf Movement,Transfer,16.043372212521,0,0,Tidak Churn,0.00036074527,0
DAD-00254,278,69,7460000.0,2025-03-28,160000.0,Pulihkan Duka Negeri Palestina,Transfer,15.825066106228192,0,0,Tidak Churn,0.0004195195,0
DAD-00255,362,17,1110000.0,2025-01-03,60000.0,Pulihkan Duka Negeri Palestina,Transfer,13.919871474189012,1,1,Berpotensi Churn,0.9995241,1
DAD-00256,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00257,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
